name.or.i.	Sequence	Group
Fusarium_graminearum_FGSG13783.3_A3_7	Fg_FGSG13783.3_A3_7	EAS
Fusarium_graminearum_FGSG13783.3_A4_7	Fg_FGSG13783.3_A4_7	EAS
Fusarium_graminearum_FGSG13783.3_A5_7	Fg_FGSG13783.3_A5_7	EAS
Fusarium_graminearum_FGSG13783.3_A6_7	Fg_FGSG13783.3_A6_7	EAS
Fusarium_graminearum_FGSG13783.3_A7_7	Fg_FGSG13783.3_A7_7	EAS
Fusarium_graminearum_FGSG13878.3_A1_8	Fg_FGSG13878.3_A1_8	EAS
Fusarium_graminearum_FGSG13878.3_A2_8	Fg_FGSG13878.3_A2_8	EAS
Fusarium_graminearum_FGSG13878.3_A3_8	Fg_FGSG13878.3_A3_8	EAS
Fusarium_graminearum_FGSG13878.3_A4_8	Fg_FGSG13878.3_A4_8	EAS
Fusarium_graminearum_FGSG13878.3_A5_8	Fg_FGSG13878.3_A5_8	EAS
Fusarium_graminearum_FGSG13878.3_A6_8	Fg_FGSG13878.3_A6_8	EAS
Fusarium_graminearum_FGSG13878.3_A7_8	Fg_FGSG13878.3_A7_8	EAS
Fusarium_graminearum_FGSG13878.3_A8_8	Fg_FGSG13878.3_A8_8	EAS
Fusarium_graminearum_NPS10_FGSG06507.3_A1_1	Fg_NPS10_FGSG06507.3_A1_1	ChNPS10
Fusarium_graminearum_NPS6_FGSG03747.3_A1_1	Fg_NPS6_FGSG03747.3_A1_1	EAS
Fusarium_graminearum_OCHRA_FGSG10617.3_A1_1	Fg_OCHRA_FGSG10617.3_A1_1	Outgroups
Fusarium_heterosporum_EqiS_AAV66106.1_A1_1	Fh_EqiS_AAV66106.1_A1_1	PKS;NRPS
Geobacter_sulfurreducens_LCFAL_NP_952156.1_A1_1	Gs_LCFAL_NP_952156.1_A1_1	Outgroups
Giberella_fujikuroi_FUSS_AAT28740_A1_1	Gf_FUSS_AAT28740_A1_1	PKS;NRPS
Hahella_chejuensis_YP_001544632.1_A1_2	Ha_YP_001544632.1_A1_2	Bact
Hahella_chejuensis_YP_001544632.1_A2_2	Ha_YP_001544632.1_A2_2	Bact
Hahella_chejuensis_YP_436153.1_A1_1	Hc_YP_436153.1_A1_1	ChNPS11/ETP Mod 2
Heliobacterium_modesticaldum_LCFAL_YP_001678729.1_A1_1	Hm_LCFAL_YP_001678729.1_A1_1	Outgroups
Herpetosiphon_aurantiacus_ABX04502.1_A1_2	Ha_ABX04502.1_A1_2	Bact
Herpetosiphon_aurantiacus_ABX04502.1_A2_2	Ha_ABX04502.1_A2_2	Bact
Hypocrea_virens_TEX1_AAM78457.1_A1_18	Hv_TEX1_AAM78457.1_A1_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A10_18	Hv_TEX1_AAM78457.1_A10_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A11_18	Hv_TEX1_AAM78457.1_A11_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A12_18	Hv_TEX1_AAM78457.1_A12_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A13_18	Hv_TEX1_AAM78457.1_A13_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A14_18	Hv_TEX1_AAM78457.1_A14_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A15_18	Hv_TEX1_AAM78457.1_A15_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A16_18	Hv_TEX1_AAM78457.1_A16_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A17_18	Hv_TEX1_AAM78457.1_A17_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A18_18	Hv_TEX1_AAM78457.1_A18_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A2_18	Hv_TEX1_AAM78457.1_A2_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A3_18	Hv_TEX1_AAM78457.1_A3_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A4_18	Hv_TEX1_AAM78457.1_A4_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A5_18	Hv_TEX1_AAM78457.1_A5_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A6_18	Hv_TEX1_AAM78457.1_A6_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A7_18	Hv_TEX1_AAM78457.1_A7_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A8_18	Hv_TEX1_AAM78457.1_A8_18	EAS
Hypocrea_virens_TEX1_AAM78457.1_A9_18	Hv_TEX1_AAM78457.1_A9_18	EAS
Leptosphaeria_maculans_MAA_AAO49458.1_A1_1	Lm_MAA_AAO49458.1_A1_1	ChNPS10
Leptosphaeria_maculans_SirP_AAS92545.1_A1_2	Lm_SirP_AAS92545.1_A1_2	ChNPS11/ETP Mod 1
Leptosphaeria_maculans_SirP_AAS92545.1_A2_2	Lm_SirP_AAS92545.1_A2_2	ChNPS11/ETP Mod 2
Lyngbya_majuscule_AAL_JamA_AAS98774.1_A1_1	Lma_AAL_JamA_AAS98774.1_A1_1	Outgroups
Lysobacter_lactamgenus_ABB80392.1_A1_3	Ll_ABB80392.1_A1_3	Bact
Lysobacter_lactamgenus_ABB80392.1_A2_3	Ll_ABB80392.1_A2_3	Bact
Lysobacter_lactamgenus_ABB80392.1_A3_3	Ll_ABB80392.1_A3_3	Bact
Lysobacter_lactamgenus_pcbAB_BAA08846.1_A1_3	Ll_pcbAB_BAA08846.1_A1_3	ACV
Lysobacter_lactamgenus_pcbAB_BAA08846.1_A2_3	Ll_pcbAB_BAA08846.1_A2_3	ACV
Lysobacter_lactamgenus_pcbAB_BAA08846.1_A3_3	Ll_pcbAB_BAA08846.1_A3_3	ACV
Magnaporthe_grisea_Ace1_MGG15097.6_A1_1	Mg_Ace1_MGG15097.6_A1_1	PKS;NRPS
Magnaporthe_grisea_MG07803.6_A1_1	Mg_MG07803.6_A1_1	NA
Magnaporthe_grisea_MGG00022.6_A1_3	Mg_MGG00022.6_A1_3	EAS
Magnaporthe_grisea_MGG00022.6_A2_3	Mg_MGG00022.6_A2_3	CYCLO
Magnaporthe_grisea_MGG00022.6_A3_3	Mg_MGG00022.6_A3_3	CYCLO
Magnaporthe_grisea_MGG02351.6_A1_5	Mg_MGG02351.6_A1_5	EAS
Magnaporthe_grisea_MGG02351.6_A2_5	Mg_MGG02351.6_A2_5	EAS
Magnaporthe_grisea_MGG02351.6_A3_5	Mg_MGG02351.6_A3_5	EAS
Magnaporthe_grisea_MGG02351.6_A4_5	Mg_MGG02351.6_A4_5	EAS
Magnaporthe_grisea_MGG02351.6_A5_5	Mg_MGG02351.6_A5_5	EAS
Magnaporthe_grisea_MGG03401.6_A1_1	Mg_MGG03401.6_A1_1	EAS
Magnaporthe_grisea_MGG03810.6_A1_1	Mg_MGG03810.6_A1_1	PKS;NRPS
Magnaporthe_grisea_MGG07858.6_A1_4	Mg_MGG07858.6_A1_4	EAS
Magnaporthe_grisea_MGG07858.6_A2_4	Mg_MGG07858.6_A2_4	EAS
Magnaporthe_grisea_MGG07858.6_A3_4	Mg_MGG07858.6_A3_4	EAS
Magnaporthe_grisea_MGG07858.6_A4_4	Mg_MGG07858.6_A4_4	EAS
Magnaporthe_grisea_MGG09589.6_A1_1	Mg_MGG09589.6_A1_1	PKS;NRPS
Magnaporthe_grisea_MGG11222.6_A1_1	Mg_MGG11222.6_A1_1	ChNPS11/ETP Mod 2
Magnaporthe_grisea_MGG12175.6_A1_3	Mg_MGG12175.6_A1_3	SID
Magnaporthe_grisea_MGG12175.6_A2_3	Mg_MGG12175.6_A2_3	SID
Magnaporthe_grisea_MGG12175.6_A3_3	Mg_MGG12175.6_A3_3	SID
Magnaporthe_grisea_MGG14943.6_A1_1	Mg_MGG14943.6_A1_1	PKS;NRPS
Magnaporthe_grisea_MGG14967.6_A1_4	Mg_MGG14967.6_A1_4	NA
Magnaporthe_grisea_MGG14967.6_A2_4	Mg_MGG14967.6_A2_4	NA
Magnaporthe_grisea_MGG14967.6_A3_4	Mg_MGG14967.6_A3_4	SIDE
Magnaporthe_grisea_MGG14967.6_A4_4	Mg_MGG14967.6_A4_4	NA
Magnaporthe_grisea_MGG15248.6_A1_1	Mg_MGG15248.6_A1_1	ChNPS11/ETP Mod 2
Magnaporthe_grisea_NPS10_MGG03290.6_A1_1	Mg_NPS10_MGG03290.6_A1_1	ChNPS10
Magnaporthe_grisea_NPS6_MGG14767.6_A1_1	Mg_NPS6_MGG14767.6_A1_1	EAS
Magnaporthe_grisea_Syn2_MGG12447.6_A1_1	Mg_Syn2_MGG12447.6_A1_1	PKS;NRPS
Magnaporthe_grisea_Syn8_MGG14897.6_A1_1	Mg_Syn8_MGG14897.6_A1_1	PKS;NRPS
Melittangium_lichenichola_PKSNPS_MelD_CAD89775.1_A1_1	Ml_PKSNPS_MelD_CAD89775.1_A1_1	Bact
Metarhizium_anisopliae_PesA_CAA61605.1_A1_4	Ma_PesA_CAA61605.1_A1_4	EAS
Metarhizium_anisopliae_PesA_CAA61605.1_A2_4	Ma_PesA_CAA61605.1_A2_4	EAS
Metarhizium_anisopliae_PesA_CAA61605.1_A3_4	Ma_PesA_CAA61605.1_A3_4	EAS
Metarhizium_anisopliae_PesA_CAA61605.1_A4_4	Ma_PesA_CAA61605.1_A4_4	EAS
Microcystis_aeruginosa_BAF68991.1_A1_1	Mae_BAF68991.1_A1_1	Bact
Microcystis_aeruginosa_McyC_AAF00962.1_A1_1	Mae_McyC_AAF00962.1_A1_1	Bact
Micromonospora_sp._CAJ34381.1_A1_2	Msp._CAJ34381.1_A1_2	NA
Micromonospora_sp._CAJ34381.1_A2_2	Msp._CAJ34381.1_A2_2	NA
Mycobacterium_tuberculosis_ACL_YP_001135507.1_A1_1	Mt_ACL_YP_001135507.1_A1_1	Outgroups
Mycobacterium_tuberculosis_Fad28_YP_001284310.1_A1_1	Mt_AAL_Fad28_YP_001284310.1_A1_1	Outgroups
Mycobacterium_tuberculosis_LCFAL_ZP03416623.1_A1_1	Mt_LCFAL_ZP03416623.1_A1_1	Outgroups
Mycobacterium_tuberculosis_MBTE_NP_216896.1_A1_1	Mt_MBTE_NP_216896.1_A1_1	Bact
Mycrocystis_aeruginosa_McyA_AAF00960.1_A1_2	Mae_McyA_AAF00960.1_A1_2	Bact
Mycrocystis_aeruginosa_McyA_AAF00960.1_A2_2	Mae_McyA_AAF00960.1_A2_2	Bact
Myxococcus_xanthus_AAL_AAC44128.1_SafB_A1_2	Mx_AAL_AAC44128.1_SafB_A1_2	Bact
Myxococcus_xanthus_AAL_SafB_AAC44128.1_A2_2	Mx_AAL_SafB_AAC44128.1_A2_2	Outgroups
Myxococcus_xanthus_NPSPKS_YP_631822.1_A1_1	Mx_NPSPKS_YP_631822.1_A1_1	Bact
Myxococcus_xanthus_Ta1_NPSPKS_YP_632115.1_A1_1	Mx_Ta1_NPSPKS_YP_632115.1_A1_1	Bact
Neurospora_crassa_AAR_NCU03010.3_A1_1	Nc_AAR_NCU03010.3_A1_1	AAR
Neurospora_crassa_LCFAL_NCU00608.3_A1_1	Nc_LCFAL_NCU00608.3_A1_1	Outgroups
Neurospora_crassa_NCU04531.3_A1_1	Nc_NCU04531.3_A1_1	EAS
Neurospora_crassa_NCU07119.3_A1_3	Nc_NCU07119.3_A1_3	SID
Neurospora_crassa_NCU07119.3_A2_3	Nc_NCU07119.3_A2_3	SID
Neurospora_crassa_NCU07119.3_A3_3	Nc_NCU07119.3_A3_3	SID
Neurospora_crassa_NPS6_NC08441.3_A1_1	Nc_NPS6_NC08441.3_A1_1	EAS
Neurospora_crassa_OCHRA_NCU05000.3_A1_1	Nc_OCHRA_NCU05000.3_A1_1	Outgroups
Nocardia_lactamdurans_P27743.1_A1_3	Nl_P27743.1_A1_3	ACV
Nocardia_lactamdurans_P27743.1_A2_3	Nl_P27743.1_A2_3	ACV
Nocardia_lactamdurans_P27743.1_A3_3	Nl_P27743.1_A3_3	ACV
Nodularia_spumigena_EAW43322.1_A1_1	Ns_EAW43322.1_A1_1	Bact
Nodularia_spumigena_ZP_01632190.1_A1_3	Ns_ZP_01632190.1_A1_3	Bact
Nodularia_spumigena_ZP_01632190.1_A2_3	Ns_ZP_01632190.1_A2_3	Bact
Nodularia_spumigena_ZP_01632190.1_A3_3	Ns_ZP_01632190.1_A3_3	Bact
Nostoc_punctiforme_ZP_00110590.1_A1_1	Np_ZP_00110590.1_A1_1	Bact
Nostoc_sp._NcpA_AA023333.1_A1_3	Nsp._NcpA_AA023333.1_A1_3	Bact
Nostoc_sp._NcpA_AAO23333.1_A2_3	Nsp._NcpA_AAO23333.1_A2_3	Bact
Nostoc_sp._NcpA_AAO23333.1_A3_3	Nsp._NcpA_AAO23333.1_A3_3	Bact
Nostoc_sp._Ncpb_AAO23334.1_A1_4	Nsp._Ncpb_AAO23334.1_A1_4	Bact
Nostoc_sp._Ncpb_AAO23334.1_A2_4	Nsp._Ncpb_AAO23334.1_A2_4	Bact
Nostoc_sp._Ncpb_AAO23334.1_A3_4	Nsp._Ncpb_AAO23334.1_A3_4	Bact
Nostoc_sp._Ncpb_AAO23334.1_A4_4	Nsp._Ncpb_AAO23334.1_A4_4	Bact
Opitutus_terrae_ACB75254.1_A1_1	Ot_ACB75254.1_A1_1	Bact
Penicillium_chrysogenum_ACVS1__CAA38195.1_A1_3	Pc_ACVS1__CAA38195.1_A1_3	ACV
Penicillium_chrysogenum_ACVS1__CAA38195.1_A2_3	Pc_ACVS1__CAA38195.1_A2_3	ACV
Penicillium_chrysogenum_ACVS1__CAA38195.1_A3_3	Pc_ACVS1__CAA38195.1_A3_3	ACV
Phanaerochaete_chrysosporium_Phchr1_135156_A1_1	Pch_Phchr1_135156_A1_1	ChNPS11/ETP Mod 2
Phanaerochaete_chrysosporium_Phchr1_2706_A1_2	Pch_Phchr1_2706_A1_2	CYCLO
Phanaerochaete_chrysosporium_Phchr1_2706_A2_2	Pch_Phchr1_2706_A2_2	CYCLO
Photorhabdus_luminescens_NP_929573.1_1	Pl_NP_929573.1_1	Bact
Photorhabdus_luminescens_NP_930489.1_A1_5	Pl_NP_930489.1_A1_5	Bact
Photorhabdus_luminescens_NP_930489.1_A2_5	Pl_NP_930489.1_A2_5	Bact
Photorhabdus_luminescens_NP_930489.1_A3_5	Pl_NP_930489.1_A3_5	Bact
Photorhabdus_luminescens_NP_930489.1_A4_5	Pl_NP_930489.1_A4_5	Bact
Photorhabdus_luminescens_NP_930489.1_A5_5	Pl_NP_930489.1_A5_5	Bact
Phycomyces_blakesleeanus_AAR_Phybl1_34455_A1_1	Pb_AAR_Phybl1_34455_A1_1	AAR
Podospora_anserina_NPS6_Pa3_11200_A1_1	Pa_NPS6_Pa3_11200_A1_1	EAS
Podospora_anserina_Pa0_670_A1_1	Pa_Pa0_670_A1_1	ChNPS11/ETP Mod 2
Podospora_anserina_Pa1_0240_A1_1	Pa_Pa1_0240_A1_1	PKS;NRPS
Podospora_anserina_Pa1_15210_A1_1	Pa_Pa1_15210_A1_1	PKS;NRPS
Podospora_anserina_Pa2_7870_A1_2	Pa_Pa2_7870_A1_2	SIDE
Podospora_anserina_Pa2_7870_A2_2	Pa_Pa2_7870_A2_2	SIDE
Podospora_anserina_Pa4_4440_A1_3	Pa_Pa4_4440_A1_3	SID
Podospora_anserina_Pa4_4440_A2_3	Pa_Pa4_4440_A2_3	SID
Podospora_anserina_Pa4_4440_A3_3	Pa_Pa4_4440_A3_3	SID
Podospora_anserina_Pa4_4630_A1_4	Pa_Pa4_4630_A1_4	EAS
Podospora_anserina_Pa4_4630_A2_4	Pa_Pa4_4630_A2_4	EAS
Podospora_anserina_Pa4_4630_A3_4	Pa_Pa4_4630_A3_4	EAS
Podospora_anserina_Pa4_4630_A4_4	Pa_Pa4_4630_A4_4	EAS
Podospora_anserina_Pa4_4640_A1_1	Pa_Pa4_4640_A1_1	EAS
Podospora_anserina_Pa5_1070_A1_1	Pa_Pa5_1070_A1_1	EAS
Podospora_anserina_Pa5_6830_A1_1	Pa_Pa5_6830_A1_1	PKS;NRPS
Podospora_anserina_Pa6_10100_A1_1	Pa_Pa6_10100_A1_1	PKS;NRPS
Postia_placenta_PosPl1_42387_A1_1	Pp_PosPl1_42387_A1_1	ChNPS11/ETP Mod 2
Postia_placenta_Pospl1_111174_A1_1	Pp_Pospl1_111174_A1_1	ChNPS11/ETP Mod 2
Postia_placenta_Pospl1_127321_A1_1	Pp_Pospl1_127321_A1_1	ChNPS11/ETP Mod 2
Postia_placenta_Pospl1_42034_A1_1	PP_Pospl1_42034_A1_1	ChNPS11/ETP Mod 2
Postia_placenta_Pospl1_49678_AMP1_1	PP_Pospl1_49678_AMP1_1	ChNPS11/ETP Mod 2
Postia_placenta_Pospl1_54576_A1_1	Pp_Pospl1_54576_A1_1	ChNPS11/ETP Mod 2
Postia_placenta_Pospl1_54642_A1_1	Pp_Pospl1_54642_A1_1	ChNPS11/ETP Mod 2
Postia_placenta_Pospl1_95457_A1_1	PP_Pospl1_95457_A1_1	ChNPS11/ETP Mod 2
Pseudomonas_aeruginosa_PchE_AAD55800.1_A1_1	Pae_PchE_AAD55800.1_A1_1	Bact
Pseudomonas_aeruginosa_PchF_AAD55801.1_A1_1	Pae_PchF_AAD55801.1_A1_1	Bact
Pseudomonas_aeruginosa_PvdD_AAX16295.1_A1_2	Pae_PvdD_AAX16295.1_A1_2	Bact
Pseudomonas_aeruginosa_PvdD_AAX16295.1_A2_2	Pae_PvdD_AAX16295.1_A2_2	Bact
Pseudomonas_aeruginosa_PvdI_AAX16297.1_A1_4	Pae_PvdI_AAX16297.1_A1_4	Bact
Pseudomonas_aeruginosa_PvdI_AAX16297.1_A2_4	Pae_PvdI_AAX16297.1_A2_4	Bact
Pseudomonas_aeruginosa_PvdI_AAX16297.1_A3_4	Pae_PvdI_AAX16297.1_A3_4	Bact
Pseudomonas_aeruginosa_PvdI_AAX16297.1_A4_4	Pae_PvdI_AAX16297.1_A4_4	Bact
Pseudomonas_aeruginosa_PvdJ_AAG05788.2_A1_2	Pae_PvdJ_AAG05788.2_A1_2	Bact
Pseudomonas_aeruginosa_PvdJ_AAG05788.2_A2_2	Pae_PvdJ_AAG05788.2_A2_2	Bact
Pseudomonas_aeruginosa_PvdL_AAG05812.1_A1_3	Pae_PvdL_AAG05812.1_A1_3	Bact
Pseudomonas_aeruginosa_PvdL_AAG05812.1_A2_3	Pae_PvdL_AAG05812.1_A2_3	Bact
Pseudomonas_aeruginosa_PvdL_AAG05812.1_A3_3	Pae_PvdL_AAG05812.1_A3_3	Bact
Pseudomonas_entomophila_YP_608846.1_A1_1	Pe_YP_608846.1_A1_1	NA
Pseudomonas_flourescens_AAY92261.1_A1_1	Pf_AAY92261.1_A1_1	Bact
Pseudomonas_putida_NP_744708.1_A1_1	Ppu_NP_744708.1_A1_1	NA
Pseudomonas_putida_YP_001268464.1_A1_1	Ppu_YP_001268464.1_A1_1	NA
Pseudomonas_putida_YP_001669542.1_A1_1	Ppu_YP_001669542.1_A1_1	NA
Pseudomonas_syringae_ACOAS_NP_791649.1_A1_1	Ps_ACOAS_NP_791649.1_A1_1	Outgroups
Puccinia_graminis_PGTG06519.2_A1_1	Pg_PGTG06519.2_A1_1	NA
Pyrenophora_tritici_repentis_OCHRA_PTRG06150.2_A1_1	Pt_repentis_OCHRA_PTRG06150.2_A1_1	Outgroups
Rhizopus_oryzae_AAR_RO3G12433.1_A1_1	Ro_AAR_RO3G12433.1_A1_1	AAR
Rhizopus_oryzae_ACL_RO05716.1_A1_1	Ro_ACL_RO05716.1_A1_1	Outgroups
Rhodococcus_jostii_ACL_YP_705267.1_A1_1	Rj_ACL_YP_705267.1_A1_1	Outgroups
Roseobacter_denitrificans_ACL_YP_682165.1_A1_1	Rd_ACL_YP_682165.1_A1_1	Outgroups
Saccharomyces_cerevisiae_AAR_LYS2_YBR115C_A1_1	Sc_AAR_LYS2_YBR115C_A1_1	AAR
Saccharomyces_cerevisiae_ACOAS_SCRG05132.1_A1_1	Sc_ACOAS_SCRG05132.1_A1_1	Outgroups
Saccharomyces_cerevisiae_CPS1_Y0R093C_A1_2	Sc_CPS1_Y0R093C_A1_2	Outgroups
Saccharomyces_cerevisiae_CPS1_Y0R093C_A2_2	Sc_CPS1_Y0R093C_A2_2	Outgroups
Salinispora_arenicola_AAL_ZP_01464049.1_A1_2	Sa_AAL_ZP_01464049.1_A1_2	Outgroups
Salinispora_arenicola_MtaD_NPSPKS_AF188287.1_A1_1	Sa_MtaD_NPSPKS_AF188287.1_A1_1	Bact
Salinispora_arenicola_YP_001535628.1_A1_1	Sa_YP_001535628.1_A1_1	ChNPS11/ETP Mod 2
Salinispora_tropica_YP_001157631.1_A1_1	St_YP_001157631.1_A1_1	ChNPS11/ETP Mod 2
Schizosaccharomyces_japonicus_SJAG04031.2_A1_2	Sj_SJAG04031.2_A1_2	SID
Schizosaccharomyces_japonicus_SJAG04031.2_A2_2	Sj_SJAG04031.2_A2_2	SID
Schizosaccharomyces_pombe_AAR_lys1_SPAP7G5.04c_A1_1	Sp_AAR_lys1_SPAP7G5.04c_A1_1	AAR
Schizosaccharomyces_pombe_ACOAS_SPCC417.14c_A1_1	Sp_ACOAS_SPCC417.14c_A1_1	Outgroups
Schizosaccharomyces_pombe_CPS1_SPAC56F8_A1_2	Sp_CPS1_SPAC56F8_A1_2	Outgroups
Schizosaccharomyces_pombe_CPS1_SPAC56F8_A2_2	Sp_CPS1_SPAC56F8_A2_2	Outgroups
Schizosaccharomyces_pombe_sib1_SPAC23G3_02c_A1_3	Sp_sib1_SPAC23G3_02c_A1_3	SID
Schizosaccharomyces_pombe_sib1_SPAC23G3_02c_A3_3	Sp_sib1_SPAC23G3_02c_A3_3	SID
Shewanella_oneidensis_ACL_NP_624638.1_A1_1	Sco_ACL_NP_624638.1_A1_1	Outgroups
Shewanella_oneidensis_ACOAS_NP_718327.1_A1_1	So_ACOAS_NP_718327.1_A1_1	Outgroups
Sporobolomyces_roseus_AA_Sporo1_31423_A1_1	Sr_AA_Sporo1_31423_A1_1	NA
Sporobolomyces_roseus_AAR_Sporo1_21452_A1_1	Sr_AAR_Sporo1_21452_A1_1	AAR
Streptomyces_clavuligerus_AAB39900.1_A1_1	Scl_AAB39900.1_A1_1	ACV
Streptomyces_coelicolor_ACL_NP_628552.1_A1_1	Sco_ACL_NP_628552.1_A1_1	Outgroups
Tolypocladium_inflatum_SimA_CAA82227.1_A1_11	Ti_SimA_CAA82227.1_A1_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A10_11	Ti_SimA_CAA82227.1_A10_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A11_11	Ti_SimA_CAA82227.1_A11_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A2_11	Ti_SimA_CAA82227.1_A2_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A3_11	Ti_SimA_CAA82227.1_A3_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A4_11	Ti_SimA_CAA82227.1_A4_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A5_11	Ti_SimA_CAA82227.1_A5_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A6_11	Ti_SimA_CAA82227.1_A6_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A7_11	Ti_SimA_CAA82227.1_A7_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A8_11	Ti_SimA_CAA82227.1_A8_11	CYCLO
Tolypocladium_inflatum_SimA_CAA82227.1_A9_11	Ti_SimA_CAA82227.1_A9_11	CYCLO
Trichoderma_reesii_NPS10_Trire2_81014_A1_1	Tr_NPS10_Trire2_81014_A1_1	ChNPS10
Trichoderma_reesii_NPS6_Trire2_67189_A1_1	Tr_NPS6_Trire2_67189_A1_1	EAS
Trichoderma_reesii_NPS6_Trire2_71005_A1_1	Tr_NPS6_Trire2_71005_A1_1	EAS
Trichoderma_reesii_Trire2_123786_A1_14	Tr_Trire2_123786_A1_14	EAS
Trichoderma_reesii_Trire2_123786_A10_14	Tr_Trire2_123786_A10_14	EAS
Trichoderma_reesii_Trire2_123786_A11_14	Tr_Trire2_123786_A11_14	EAS
Trichoderma_reesii_Trire2_123786_A12_14	Tr_Trire2_123786_A12_14	EAS
Trichoderma_reesii_Trire2_123786_A13_14	Tr_Trire2_123786_A13_14	EAS
Trichoderma_reesii_Trire2_123786_A14_14	Tr_Trire2_123786_A14_14	EAS
Trichoderma_reesii_Trire2_123786_A2_14	Tr_Trire2_123786_A2_14	EAS
Trichoderma_reesii_Trire2_123786_A3_14	Tr_Trire2_123786_A3_14	EAS
Trichoderma_reesii_Trire2_123786_A4_14	Tr_Trire2_123786_A4_14	EAS
Trichoderma_reesii_Trire2_123786_A5_14	Tr_Trire2_123786_A5_14	EAS
Trichoderma_reesii_Trire2_123786_A6_14	Tr_Trire2_123786_A6_14	EAS
Trichoderma_reesii_Trire2_123786_A7_14	Tr_Trire2_123786_A7_14	EAS
Trichoderma_reesii_Trire2_123786_A8_14	Tr_Trire2_123786_A8_14	EAS
Trichoderma_reesii_Trire2_123786_A9_14	Tr_Trire2_123786_A9_14	EAS
Trichoderma_reesii_Trire2_23171_A1_20	Tr_Trire2_23171_A1_20	EAS
Trichoderma_reesii_Trire2_23171_A10_20	Tr_Trire2_23171_A10_20	EAS
Trichoderma_reesii_Trire2_23171_A11_20	Tr_Trire2_23171_A11_20	EAS
Trichoderma_reesii_Trire2_23171_A12_20	Tr_Trire2_23171_A12_20	EAS
Trichoderma_reesii_Trire2_23171_A13_20	Tr_Trire2_23171_A13_20	EAS
Trichoderma_reesii_Trire2_23171_A14_20	Tr_Trire2_23171_A14_20	EAS
Trichoderma_reesii_Trire2_23171_A15_20	Tr_Trire2_23171_A15_20	EAS
Trichoderma_reesii_Trire2_23171_A16_20	Tr_Trire2_23171_A16_20	EAS
Trichoderma_reesii_Trire2_23171_A17_20	Tr_Trire2_23171_A17_20	EAS
Trichoderma_reesii_Trire2_23171_A18_20	Tr_Trire2_23171_A18_20	EAS
Trichoderma_reesii_Trire2_23171_A19_20	Tr_Trire2_23171_A19_20	EAS
Trichoderma_reesii_Trire2_23171_A2_20	Tr_Trire2_23171_A2_20	EAS
Trichoderma_reesii_Trire2_23171_A20_20	Tr_Trire2_23171_A20_20	EAS
Trichoderma_reesii_Trire2_23171_A3_20	Tr_Trire2_23171_A3_20	EAS
Trichoderma_reesii_Trire2_23171_A4_20	Tr_Trire2_23171_A4_20	EAS
Trichoderma_reesii_Trire2_23171_A5_20	Tr_Trire2_23171_A5_20	EAS
Trichoderma_reesii_Trire2_23171_A6_20	Tr_Trire2_23171_A6_20	EAS
Trichoderma_reesii_Trire2_23171_A7_20	Tr_Trire2_23171_A7_20	EAS
Trichoderma_reesii_Trire2_23171_A8_20	Tr_Trire2_23171_A8_20	EAS
Trichoderma_reesii_Trire2_23171_A9_20	Tr_Trire2_23171_A9_20	EAS
Trichoderma_reesii_Trire2_24586_A1_2	Tr_Trire2_24586_A1_2	ChNPS11/ETP Mod 1
Trichoderma_reesii_Trire2_24586_A2_2	Tr_Trire2_24586_A2_2	ChNPS11/ETP Mod 2
Trichoderma_reesii_Trire2_58285_A1_1	Tr_Trire2_58285_A1_1	PKS;NRPS
Trichoderma_reesii_Trire2_59315_A1_1	Tr_Trire2_59315_A1_1	PKS;NRPS
Trichoderma_reesii_Trire2_60458_A1_2	Tr_Trire2_60458_A1_2	ChNPS11/ETP Mod 1
Trichoderma_reesii_Trire2_60458_A2_2	Tr_Trire2_60458_A2_2	ChNPS11/ETP Mod 2
Trichoderma_reesii_Trire2_60751_A1_1	Tr_Trire2_60751_A1_1	EAS
